Bp1670 + Bp1689
Global prevalence: 890/9634 (9.24 %)

Study	Disease	Prevalence_Healthy	Prevalence_Healthy_%	Prevalence_Disease	Prevalence_Disease_%	p-value	BH-adj._p-value
FengQ_2015	CRC	0/16	0.0	0/13	0.0	1.0	1.0
LiJ_2014	CD	1/10	10.0	0/76	0.0	0.11627906976744184	0.5374770152125152
LiJ_2014	UC	1/10	10.0	0/63	0.0	0.13698630136986303	0.5374770152125152
LiJ_2014	T2D	1/10	10.0	0/79	0.0	0.11235955056179776	0.5374770152125152
NielsenHB_2014	CD	0/248	0.0	0/21	0.0	1.0	1.0
NielsenHB_2014	UC	0/248	0.0	0/127	0.0	1.0	1.0
HMP_2019_ibdmdb	CD	11/361	3.0470914127423825	10/590	1.694915254237288	0.17869455881006488	0.5374770152125152
HMP_2019_ibdmdb	UC	11/361	3.0470914127423825	2/354	0.5649717514124294	0.021378584254239098	0.3809662179666228
YachidaS_2019	CRC	189/246	76.82926829268293	207/258	80.23255813953489	0.3855621516808816	0.7711243033617632
ZellerG_2014	CRC	0/61	0.0	0/53	0.0	1.0	1.0
HanniganGD_2017	CRC	0/27	0.0	0/26	0.0	1.0	1.0
VogtmannE_2016	CRC	2/58	3.4482758620689653	0/52	0.0	0.4969140950792327	0.8317823709091109
YuJ_2015	CRC	8/37	21.62162162162162	5/46	10.869565217391305	0.22985649257485555	0.5374770152125152
YuJ_2015	T2D	8/37	21.62162162162162	5/16	31.25	0.49906942254546655	0.8317823709091109
VincentC_2016	CDI	0/174	0.0	0/14	0.0	1.0	1.0
QinJ_2012	T2D	51/193	26.42487046632124	56/170	32.94117647058823	0.20451401985126852	0.5374770152125152
WenC_2017	RA	28/78	35.8974358974359	24/90	26.666666666666668	0.24186465684563188	0.5374770152125152
IjazUZ_2017	CD	0/38	0.0	0/56	0.0	1.0	1.0
KarlssonFH_2013	T2D	0/43	0.0	0/53	0.0	1.0	1.0
HeQ_2017	CD	24/53	45.28301886792453	12/49	24.489795918367346	0.03809662179666228	0.3809662179666228
multi_study	IBD	36/710	5.070422535211268	24/1336	1.7964071856287425	5.166366261503083e-05	0.0003616456383052158
multi_study	CD	36/710	5.070422535211268	22/792	2.7777777777777777	0.0227713767444087	0.0531332124036203
multi_study	UC	12/619	1.938610662358643	2/544	0.3676470588235294	0.014915785787518607	0.052205250256315124
multi_study	CRC	199/445	44.71910112359551	212/448	47.32142857142857	0.4603504062841589	0.6333158841914311
multi_study	CDI	0/174	0.0	0/14	0.0	1.0	1.0
multi_study	T2D	60/283	21.20141342756184	61/318	19.18238993710692	0.5428421864497981	0.6333158841914311
multi_study	RA	28/78	35.8974358974359	24/90	26.666666666666668	0.24186465684563188	0.4232631494798558

Country_1	Country_2	Prevalence_Country_1	Prevalence_Country_1_%	Prevalence_Country_2	Prevalence_Country_2_%	p-value	BH-adj._p-value
Japan	Tanzania	485/616	78.73376623376623	0/67	0.0	8.255345427018348e-41	8.137411920918085e-40
Japan	Russia	485/616	78.73376623376623	0/299	0.0	7.626394659665625e-137	2.1048849260677125e-135
China	Tanzania	342/1322	25.869894099848715	0/67	0.0	5.285839997106647e-09	3.392771719073104e-08
Japan	Peru	485/616	78.73376623376623	0/36	0.0	2.310628161226885e-23	1.8220953499960578e-22
China	Russia	342/1322	25.869894099848715	0/299	0.0	6.776237924055726e-35	6.0330376356109045e-34
USA	Tanzania	38/1759	2.160318362706083	0/67	0.0	0.39869977171280335	1.0
Japan	Madagascar	485/616	78.73376623376623	0/112	0.0	1.5403987862243253e-63	2.1257503249895688e-62
China	Peru	342/1322	25.869894099848715	0/36	0.0	4.337721425366266e-05	0.000266046914089131
USA	Russia	38/1759	2.160318362706083	0/299	0.0	0.004166421744709656	0.02053450717035473
Israel	Tanzania	18/900	2.0	0/67	0.0	0.6294089819997646	1.0
Japan	Kazakhstan	485/616	78.73376623376623	0/172	0.0	3.6484208524918527e-90	6.713094368585009e-89
China	Madagascar	342/1322	25.869894099848715	0/112	0.0	2.598440472992838e-14	1.749194074502496e-13
USA	Peru	38/1759	2.160318362706083	0/36	0.0	1.0	1.0
Israel	Russia	18/900	2.0	0/299	0.0	0.010478511553773742	0.04741097030887791
Mongolia	Tanzania	1/110	0.9090909090909091	0/67	0.0	1.0	1.0
Japan	Italy	485/616	78.73376623376623	0/144	0.0	3.4089478652104394e-78	4.951945319989902e-77
China	Kazakhstan	342/1322	25.869894099848715	0/172	0.0	3.1166343826393464e-21	2.3894196933568323e-20
USA	Madagascar	38/1759	2.160318362706083	0/112	0.0	0.16612053224492984	0.619584687832441
Israel	Peru	18/900	2.0	0/36	0.0	1.0	1.0
Mongolia	Russia	1/110	0.9090909090909091	0/299	0.0	0.26894865525672373	0.9164176401340215
Fiji	Tanzania	1/172	0.5813953488372093	0/67	0.0	1.0	1.0
Japan	UK	485/616	78.73376623376623	0/344	0.0	4.481740321929196e-151	1.5462004110655727e-149
China	Italy	342/1322	25.869894099848715	0/144	0.0	3.250116672148434e-18	2.2425805037824194e-17
USA	Kazakhstan	38/1759	2.160318362706083	0/172	0.0	0.043909710272872896	0.18362242477746846
Israel	Madagascar	18/900	2.0	0/112	0.0	0.24732208001147282	0.8751396677329039
Mongolia	Peru	1/110	0.9090909090909091	0/36	0.0	1.0	1.0
Fiji	Russia	1/172	0.5813953488372093	0/299	0.0	0.3651804670912951	1.0
Denmark	Tanzania	2/580	0.3448275862068966	0/67	0.0	1.0	1.0
Japan	France	485/616	78.73376623376623	0/157	0.0	7.639926347554545e-84	1.2403645128970907e-82
China	UK	342/1322	25.869894099848715	0/344	0.0	1.9345679111083734e-39	1.841174977468659e-38
USA	Italy	38/1759	2.160318362706083	0/144	0.0	0.11097302516274848	0.4253965964572025
Israel	Kazakhstan	18/900	2.0	0/172	0.0	0.09597805147198221	0.3730977775530576
Mongolia	Madagascar	1/110	0.9090909090909091	0/112	0.0	0.4954954954954955	1.0
Fiji	Peru	1/172	0.5813953488372093	0/36	0.0	1.0	1.0
